article_num,issue_date,view_count,get_date,title,url,author
9450356,2019.12.06.,576,2020-08-12,도서관룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9450356&referrerAllArticles=false,염충이
9450075,2019.12.06.,975,2020-08-12,고1 뉴발란스 데일리룩 모음,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9450075&referrerAllArticles=false,리음dd
9447584,2019.12.06.,"1,735",2020-08-12,이지 시즌 룩 원셀 (데이터 스압주의),https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9447584&referrerAllArticles=false,킴카다시안
9447444,2019.12.06.,"1,708",2020-08-12,불금 완전무장룩!!,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9447444&referrerAllArticles=false,허날도
9446665,2019.12.06.,649,2020-08-12,다이소 마실룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9446665&referrerAllArticles=false,나이키 에어맥
9444399,2019.12.06.,"7,864",2020-08-12,7-8월 데일리룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9444399&referrerAllArticles=false,저니
9440216,2019.12.05.,"1,360",2020-08-12,택배받자마자 입고 겜방간룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9440216&referrerAllArticles=false,러쉬헌
9439250,2019.12.05.,842,2020-08-12,아빠취향의 등원룩 2탄,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9439250&referrerAllArticles=false,아들딸다가진남자
9438819,2019.12.05.,519,2020-08-12,데일리룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9438819&referrerAllArticles=false,디케9
9438693,2019.12.05.,"1,934",2020-08-12,야식먹으러가는룩 (피스마이너스원 샤넬 나이키),https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9438693&referrerAllArticles=false,등교
9433983,2019.12.05.,340,2020-08-12,최근 데일리룩입니다,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9433983&referrerAllArticles=false,Martz
9426718,2019.12.04.,390,2020-08-12,올블랙 데일리룩입니다~,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9426718&referrerAllArticles=false,ogre91
9424034,2019.12.04.,889,2020-08-12,"엠부쉬 컨버스,,데일리 룩",https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=6&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9424034&referrerAllArticles=false,흐뭏흐물
9421454,2019.12.04.,441,2020-08-12,어제 데일리룩이지만 ... 이지 700,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9421454&referrerAllArticles=false,필톰
9418168,2019.12.04.,503,2020-08-12,마실룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9418168&referrerAllArticles=false,나이퀴퀴퀴
9416139,2019.12.03.,"1,881",2020-08-12,대장님이랑 제주도 여행 데일리룩~~ 피마원 파라노이즈,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9416139&referrerAllArticles=false,유니크 by
9411223,2019.12.03.,"2,019",2020-08-12,스캇 포스 떠나보내는 룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9411223&referrerAllArticles=false,Funday
9400844,2019.12.02.,620,2020-08-12,# 데일리룩21 / 2019. 03. 26,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9400844&referrerAllArticles=false,차눅
9389977,2019.12.01.,"1,503",2020-08-12,데일리룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9389977&referrerAllArticles=false,복학하기싫다
9387741,2019.12.01.,374,2020-08-12,# 데일리룩20 / 2019. 03. 30,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9387741&referrerAllArticles=false,차눅
9377804,2019.11.30.,852,2020-08-12,오늘의 룩,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9377804&referrerAllArticles=false,세모짱
9371484,2019.11.30.,876,2020-08-12,정처없이 걷다가 그냥 들어간 카페가 ‘그 카페’였네요??[데일리룩],https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9371484&referrerAllArticles=false,DeliCiouS옥수수
9371309,2019.11.30.,774,2020-08-12,데일리룩 :),https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9371309&referrerAllArticles=false,쏘딩
9362767,2019.11.29.,484,2020-08-12,# 데일리룩19 / 2019. 04. 04,https://cafe.naver.com/ArticleRead.nhn?clubid=10625158&page=7&menuid=374&inCafeSearch=true&searchBy=1&query=%EB%A3%A9&includeAll=&exclude=&include=&exact=&searchdate=2019-08-012019-12-31&media=0&sortBy=date&articleid=9362767&referrerAllArticles=false,차눅
