,MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG,follower_score,interaction,int_pct,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
56,196,1151,ohmyseon,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEn0aFgjTXb/,2020-09-02,2020-09-07,118753,1426,20,0,2020-08-18 01:00:45,,,,,25,1446,0.6607142857142857,15,-5 days +00:00:00.000000000,1.0,,,,D
59,196,1373,jangeunhong,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6NzckH0lL/,2020-09-09,2020-09-07,15603,395,8,0,2020-08-18 01:33:32,,,,,10,403,0.16071428571428573,1,2 days 00:00:00.000000000,0.8,,,,D
62,199,1165,96._.bo,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CE5wP8FlmqK/,2020-09-09,2020-09-22,45042,436,22,0,2020-08-18 01:05:30,,40.0,20.0,,15,458,0.19642857142857142,1,-13 days +00:00:00.000000000,1.0,10.0,20.0,46.0,C
66,199,1317,smxmu,Y,92.0,31JPF2061_43A,https://www.instagram.com/p/CEjNQ1JpKzw/,2020-08-31,2020-09-22,61032,2201,55,0,2020-08-18 01:06:04,,,,,20,2256,0.7678571428571429,15,-22 days +00:00:00.000000000,1.0,,,,D
69,199,803,eun_doitz,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEwAJwIhh2e/,2020-09-05,2020-09-22,353711,7667,45,0,2020-08-18 01:06:35,,20.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/118808319_348917026283939_8200628605730162441_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=pgy2KpNBIFMAX8ekImM&_nc_tp=19&oh=10ce12787b66c4553644236119c6e374&oe=5F94404F,30,7712,0.9642857142857143,20,-17 days +00:00:00.000000000,1.0,10.0,10.0,70.0,B
70,199,1027,chul2gram,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CEOUIz_As6r/,2020-08-23,2020-09-22,94343,1067,62,0,2020-08-18 01:06:44,,40.0,20.0,,20,1129,0.5625,10,-30 days +00:00:00.000000000,1.0,10.0,20.0,60.0,B
71,199,979,929.jpg,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEeIeLrBjvL/,2020-08-29,2020-09-22,58001,1025,64,0,2020-08-18 01:06:52,,,,,20,1089,0.5178571428571429,10,-24 days +00:00:00.000000000,1.0,,,,D
72,199,1161,bino___x,Y,92.0,31JPF2061_07K,https://www.instagram.com/p/CElKixtBwQK/,2020-09-01,2020-09-22,37145,946,29,0,2020-08-18 01:07:00,,,,,15,975,0.4107142857142857,10,-21 days +00:00:00.000000000,1.0,,,,D
73,199,1019,wnsur,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEONYR6BKHE/,2020-08-23,2020-09-22,24059,493,36,0,2020-08-18 01:07:10,,,,,10,529,0.25,5,-30 days +00:00:00.000000000,1.0,,,,D
74,199,223,koo_jg,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEaob8xnD_K/,2020-08-28,2020-09-22,10101,224,0,0,2020-08-18 01:07:18,,40.0,20.0,,10,224,0.0625,1,-25 days +00:00:00.000000000,1.0,10.0,20.0,41.0,C
75,199,84,onlyonefreedom,Y,92.0,31JPF2061_07K,https://www.instagram.com/p/CEUBvZ4D3ER/,2020-08-25,2020-09-22,50071,469,29,0,2020-08-18 01:07:27,,40.0,20.0,,20,498,0.23214285714285715,5,-28 days +00:00:00.000000000,1.0,10.0,20.0,55.0,B
77,199,76,rolemodel_ryu,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CE3CLSdFiEh/,2020-09-08,2020-09-22,151314,2779,26,0,2020-08-18 01:07:43,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/118848951_328413204937793_8810066337589057034_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XMJU6NB52q0AX_d2N9Q&_nc_tp=18&oh=f995dc7895d0a593669e5f2c4bb12ba8&oe=5F95670C,25,2805,0.8214285714285714,20,-14 days +00:00:00.000000000,1.0,10.0,20.0,75.0,B
